Charter#,Credit_Union,HQ_City,HQ_State,Assets_$,OOS_HQ_with_SoCal_branches,Branches_LA,Branches_SB,Branches_Riv,Branches_OC,Branches_Ventura,Branches_SD,Total_6cty,Counties,Priority,v5_status,Match_note,Source_link
11099,EAST COUNTY SCHOOLS,El Cajon,CA,147541795,,0,0,0,0,0,1,1,SD,OUTLIER,NEW_GAP,"Ventura/SD only (outlier counties, not in v5 4-cty scope)",https://ncua.gov/files/publications/analysis/call-report-data-2026-03.zip
5816,INTERFAITH,Montclair,CA,135351514,,0,1,0,0,0,0,1,SB,PRIORITY-4CTY,IN_V5,charter match: INTERFAITH,https://ncua.gov/files/publications/analysis/call-report-data-2026-03.zip
64191,NORTH IOWA COMMUNITY,Mason City,IA,128521672,Y,0,0,0,1,0,1,2,OC+SD,PRIORITY-4CTY,IN_V5,charter match: NORTH IOWA COMMUNITY,https://ncua.gov/files/publications/analysis/call-report-data-2026-03.zip
7770,THINKWISE,San Bernardino,CA,121225084,,0,2,0,0,0,0,2,SB,PRIORITY-4CTY,IN_V5,charter match: THINKWISE,https://ncua.gov/files/publications/analysis/call-report-data-2026-03.zip
7817,SEA AIR,Seal Beach,CA,118185732,,0,0,1,2,0,0,3,Riv+OC,PRIORITY-4CTY,IN_V5,charter match: SEA AIR,https://ncua.gov/files/publications/analysis/call-report-data-2026-03.zip
10351,LA LOMA,Loma Linda,CA,114333182,,0,2,1,0,0,0,3,SB+Riv,PRIORITY-4CTY,IN_V5,charter match: LA LOMA,https://ncua.gov/files/publications/analysis/call-report-data-2026-03.zip
18273,AMERICAN BROADCAST EMPLOYEES,Rockville Centr,NY,113628535,Y,3,0,0,0,0,0,3,LA,PRIORITY-4CTY,IN_V5,charter match: AMERICAN BROADCAST EMPLOYEES,https://ncua.gov/files/publications/analysis/call-report-data-2026-03.zip
24520,SANTA ANA,Santa Ana,CA,112515965,,0,0,0,1,0,0,1,OC,PRIORITY-4CTY,IN_V5,charter match: SANTA ANA,https://ncua.gov/files/publications/analysis/call-report-data-2026-03.zip
1204,RANCHO,Downey,CA,110306322,,2,0,0,1,0,0,3,LA+OC,PRIORITY-4CTY,IN_V5,charter match: RANCHO,https://ncua.gov/files/publications/analysis/call-report-data-2026-03.zip
24725,OHIO HEALTHCARE,Dublin,OH,108727461,Y,0,0,0,0,0,1,1,SD,OUTLIER,NEW_GAP,"Ventura/SD only (outlier counties, not in v5 4-cty scope)",https://ncua.gov/files/publications/analysis/call-report-data-2026-03.zip
7557,GLENDALE,Glendale,CA,102411161,,2,0,0,0,0,0,2,LA,PRIORITY-4CTY,IN_V5,charter match: GLENDALE,https://ncua.gov/files/publications/analysis/call-report-data-2026-03.zip
5530,VA DESERT PACIFIC,Long Beach,CA,98985355,,3,0,0,0,0,0,3,LA,PRIORITY-4CTY,IN_V5,charter match: VA DESERT PACIFIC,https://ncua.gov/files/publications/analysis/call-report-data-2026-03.zip
24131,UNION YES,Orange,CA,96920624,,0,0,0,1,0,0,1,OC,PRIORITY-4CTY,IN_V5,charter match: UNION YES,https://ncua.gov/files/publications/analysis/call-report-data-2026-03.zip
13495,COUNTY SCHOOLS,Ventura,CA,91465574,,0,0,0,0,5,0,5,Ventura,OUTLIER,NEW_GAP,"Ventura/SD only (outlier counties, not in v5 4-cty scope)",https://ncua.gov/files/publications/analysis/call-report-data-2026-03.zip
8230,TECHNICOLOR,Burbank,CA,84893873,,1,0,0,0,0,0,1,LA,PRIORITY-4CTY,IN_V5,charter match: TECHNICOLOR,https://ncua.gov/files/publications/analysis/call-report-data-2026-03.zip
18623,CALCOM,Long Beach,CA,82608794,,4,0,0,0,0,0,4,LA,PRIORITY-4CTY,IN_V5,charter match: CALCOM,https://ncua.gov/files/publications/analysis/call-report-data-2026-03.zip
65059,NIKKEI,Gardena,CA,80585718,,2,0,0,0,0,0,2,LA,PRIORITY-4CTY,IN_V5,charter match: NIKKEI,https://ncua.gov/files/publications/analysis/call-report-data-2026-03.zip
14499,CAL STATE L.A.,Los Angeles,CA,79904552,,2,0,0,0,0,0,2,LA,PRIORITY-4CTY,IN_V5,charter match: CAL STATE L.A.,https://ncua.gov/files/publications/analysis/call-report-data-2026-03.zip
86063,POSTCITY FINANCIAL,Long Beach,CA,78185272,,2,0,0,0,0,0,2,LA,PRIORITY-4CTY,IN_V5,charter match: POSTCITY FINANCIAL,https://ncua.gov/files/publications/analysis/call-report-data-2026-03.zip
1034,OLIVE VIEW EMPLOYEES,Sylmar,CA,75225960,,1,0,0,0,0,0,1,LA,PRIORITY-4CTY,IN_V5,charter match: OLIVE VIEW EMPLOYEES,https://ncua.gov/files/publications/analysis/call-report-data-2026-03.zip
19739,POLAM,Los Angeles,CA,73432824,,1,0,0,1,0,0,2,LA+OC,PRIORITY-4CTY,IN_V5,charter match: POLAM,https://ncua.gov/files/publications/analysis/call-report-data-2026-03.zip
64893,UNIVERSAL CITY STUDIOS,Burbank,CA,71839650,,2,0,0,0,0,1,3,LA+SD,PRIORITY-4CTY,IN_V5,charter match: UNIVERSAL CITY STUDIOS,https://ncua.gov/files/publications/analysis/call-report-data-2026-03.zip
14650,PARISHIONERS,Torrance,CA,67162263,,1,0,0,0,0,0,1,LA,PRIORITY-4CTY,IN_V5,charter match: PARISHIONERS,https://ncua.gov/files/publications/analysis/call-report-data-2026-03.zip
13402,ESCONDIDO,Escondido,CA,66214433,,0,0,0,0,0,1,1,SD,OUTLIER,NEW_GAP,"Ventura/SD only (outlier counties, not in v5 4-cty scope)",https://ncua.gov/files/publications/analysis/call-report-data-2026-03.zip
10433,BOPTI,San Pedro,CA,64385017,,2,0,0,0,0,0,2,LA,PRIORITY-4CTY,IN_V5,charter match: BOPTI,https://ncua.gov/files/publications/analysis/call-report-data-2026-03.zip
60967,HUNTINGTON BEACH,Huntington Beac,CA,55824368,,0,0,0,1,0,0,1,OC,PRIORITY-4CTY,IN_V5,charter match: HUNTINGTON BEACH,https://ncua.gov/files/publications/analysis/call-report-data-2026-03.zip
63589,JACOM,Los Angeles,CA,54866027,,1,0,0,0,0,0,1,LA,PRIORITY-4CTY,IN_V5,charter match: JACOM,https://ncua.gov/files/publications/analysis/call-report-data-2026-03.zip
5684,INLAND VALLEY,Fontana,CA,54343947,,0,1,0,0,0,0,1,SB,PRIORITY-4CTY,IN_V5,charter match: INLAND VALLEY,https://ncua.gov/files/publications/analysis/call-report-data-2026-03.zip
